Image, X, Y, Width, Height, Label
SonicFrontiers1.jpg, 303.3333333333333, 327.8333333333333, 353.49999999999994, 408.91666666666663, Sonic
SonicFrontiers10.jpg, 296.54545454545456, 383.09090909090907, 374.1818181818182, 488.72727272727275, Sonic
SonicFrontiers100.jpg, 304.8181818181818, 327.09090909090907, 385.0, 404.72727272727275, Sonic
SonicFrontiers1000.jpg, 250.24999999999997, 247.33333333333331, 319.66666666666663, 316.74999999999994, Sonic
SonicFrontiers1001.jpg, 278.9230769230769, 321.46153846153845, 337.07692307692304, 394.15384615384613, Sonic
SonicFrontiers1002.jpg, 286.5882352941176, 289.88235294117646, 326.94117647058823, 350.0, Sonic
SonicFrontiers1003.jpg, 287.5, 362.5, 351.0, 441.5, SonicCurled
SonicFrontiers1004.jpg, 294.875, 252.4375, 357.4375, 319.375, Sonic
SonicFrontiers1005.jpg, 316.07692307692304, 386.6153846153846, 396.30769230769226, 486.2307692307692, Sonic
SonicFrontiers1006.jpg, 231.53846153846152, 347.30769230769226, 303.6923076923077, 429.6923076923077, Sonic
SonicFrontiers1007.jpg, 280.0, 359.15384615384613, 326.30769230769226, 423.7692307692308, Sonic
SonicFrontiers1008.jpg, 296.625, 304.0625, 340.375, 355.25, Sonic
SonicFrontiers1009.jpg, 301.0, 281.6153846153846, 346.2307692307692, 386.07692307692304, Sonic
SonicFrontiers101.jpg, 292.6, 293.53333333333336, 357.0, 390.6, Sonic
SonicFrontiers1010.jpg, 279.53333333333336, 334.1333333333333, 331.3333333333333, 414.8666666666667, Sonic
SonicFrontiers1011.jpg, 283.88888888888886, 330.16666666666663, 334.8333333333333, 402.1111111111111, Sonic
SonicFrontiers1013.jpg, 305.7894736842106, 232.10526315789477, 358.47368421052636, 277.0526315789474, Sonic
SonicFrontiers1014.jpg, 328.1764705882353, 279.1764705882353, 415.88235294117646, 336.4117647058823, Sonic
SonicFrontiers1012.jpg, 279.99999999999994, 249.66666666666663, 334.8333333333333, 328.41666666666663, SonicBoosting
SonicFrontiers1015.jpg, 250.0, 236.0, 300.0, 284.5, SonicBoosting
SonicFrontiers1016.jpg, 314.5, 335.5, 366.5, 416.5, Sonic
SonicFrontiers1017.jpg, 289.5, 321.0, 383.0, 380.5, Sonic
SonicFrontiers1018.jpg, 321.99999999999994, 266.77777777777777, 384.2222222222222, 339.88888888888886, Sonic
SonicFrontiers1019.jpg, 285.9230769230769, 406.53846153846155, 385.53846153846155, 513.6923076923076, Sonic
SonicFrontiers102.jpg, 300.0, 294.5, 374.5, 377.5, Sonic
SonicFrontiers1020.jpg, 326.30769230769226, 300.46153846153845, 374.2307692307692, 393.6153846153846, Sonic
SonicFrontiers1021.jpg, 269.2307692307692, 285.92307692307685, 329.0, 388.76923076923055, Sonic
SonicFrontiers1021.jpg, 429.8, 256.6666666666667, 467.1333333333333, 310.3333333333333, Rings
SonicFrontiers1022.jpg, 277.9, 348.59999999999997, 342.29999999999995, 415.79999999999995, SonicCurled
SonicFrontiers1022.jpg, 324.09999999999997, 315.0, 365.4, 379.4, Rings
SonicFrontiers1023.jpg, 266.0, 310.6923076923077, 315.0, 378.53846153846155, Sonic
SonicFrontiers1024.jpg, 254.69230769230768, 345.15384615384613, 313.9230769230769, 417.8461538461538, Sonic
SonicFrontiers1025.jpg, 280.5833333333333, 326.66666666666663, 332.49999999999994, 419.41666666666663, Sonic
SonicFrontiers1026.jpg, 294.0, 371.0, 361.5, 493.0, Sonic
SonicFrontiers1027.jpg, 288.07692307692304, 440.46153846153845, 364.53846153846155, 541.1538461538461, Sonic
SonicFrontiers1028.jpg, 311.5, 572.5999999999999, 362.59999999999997, 624.4, Sonic
SonicFrontiers1029.jpg, 263.2, 64.39999999999999, 386.4, 301.0, Sonic
SonicFrontiers103.jpg, 297.8888888888889, 321.22222222222223, 354.6666666666667, 388.8888888888889, SonicCurled
SonicFrontiers1030.jpg, 217.0, 259.0, 431.2, 383.59999999999997, Sonic
SonicFrontiers1031.jpg, 295.5, 280.5, 352.5, 349.0, Sonic
SonicFrontiers1032.jpg, 266.77777777777777, 315.0, 385.0, 444.8888888888889, SonicCurled
SonicFrontiers1033.jpg, 273.0, 274.4, 382.2, 424.2, Sonic
SonicFrontiers1034.jpg, 322.5833333333333, 340.0833333333333, 403.08333333333326, 454.99999999999994, Sonic
SonicFrontiers1035.jpg, 294.6363636363636, 286.3636363636364, 353.8181818181818, 379.9090909090909, Sonic
SonicFrontiers1036.jpg, 283.11111111111114, 362.44444444444446, 364.0, 507.11111111111114, Sonic
SonicFrontiers1037.jpg, 239.07692307692307, 311.7692307692308, 310.6923076923077, 387.15384615384613, Sonic
SonicFrontiers1038.jpg, 273.0, 423.8181818181818, 337.27272727272725, 488.72727272727275, SonicCurled
SonicFrontiers1039.jpg, 302.74999999999994, 367.49999999999994, 348.8333333333333, 433.41666666666663, Sonic
SonicFrontiers104.jpg, 303.15384615384613, 329.53846153846155, 347.30769230769226, 386.07692307692304, Sonic
